class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Aves,Tinamiformes,Tinamidae,Tinamú Macuco,2477627,Tinamus solitarius,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/102104769/original.jpg,https://es.wikipedia.org/wiki/Tinamus_solitarius
Aves,Passeriformes,Thraupidae,Semillero Gorjioscuro,2491349,Sporophila ruficollis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/35511571/original.jpg,https://es.wikipedia.org/wiki/Sporophila_ruficollis
Aves,Passeriformes,Tyrannidae,Arriero Coliblanco,7341519,Agriornis albicauda,VU,https://static.inaturalist.org/photos/49163780/original.jpeg,https://es.wikipedia.org/wiki/Agriornis_albicauda
Aves,Passeriformes,Thamnophilidae,Batará Pechinegro,2490127,Biatas nigropectus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/27446778/original.jpg,https://es.wikipedia.org/wiki/Biatas_nigropectus
Aves,Charadriiformes,Pluvianellidae,Chorlito De Magallanes,2482087,Pluvianellus socialis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/23644432/original.jpg,https://es.wikipedia.org/wiki/Pluvianellus_socialis
Mammalia,Primates,Cebidae,Capuchino,7519053,Sapajus nigritus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/38817686/original.jpg,https://es.wikipedia.org/wiki/Sapajus_nigritus
Aves,Strigiformes,Strigidae,Cárabo Chaqueño,2497565,Strix chacoensis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/10762244/original.jpg,https://es.wikipedia.org/wiki/Strix_chacoensis
Mammalia,Carnivora,Canidae,Aguara Guazu,2434450,Chrysocyon brachyurus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/297930426/original.jpg,https://es.wikipedia.org/wiki/Chrysocyon_brachyurus
Mammalia,Artiodactyla,Cervidae,Venado De Campo,2440978,Ozotoceros bezoarticus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/148165540/original.jpeg,https://es.wikipedia.org/wiki/Ozotoceros_bezoarticus
Aves,Suliformes,Phalacrocoracidae,Chuita,11042235,Poikilocarbo gaimardi,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/174754551/original.jpg,https://es.wikipedia.org/wiki/Poikilocarbo_gaimardi
